portfolio,total_fees,num_trades,num_trades_saved,taxes_HODL,end_price_HODL,taxes_rebalanced,end_price_rebalanced
CURE-IOP-MONA-LBC-XVG,4078.041199699841,906,0,15756.473707051326,68025.8948282053,53389.692702098306,112759.74212315278
BSD-XRP-SYS-SLR-BLK,815.0180521582939,660,0,2135.798860815653,13543.195443262612,13183.66547573235,32770.63463265637
BYC-EXCL-IOC-FLO-REP,900.1259502795256,690,0,2517.2793382404793,15069.117352961917,10820.255055913067,29700.925973328
VIA-NEOS-VTC-AUR-EXP,1071.884234516724,706,0,2816.3539555147845,16265.415822059138,14536.685064416277,29957.425362756418
SHIFT-BURST-POT-LSK-SYS,936.2455250824821,690,0,4359.5834533147945,22438.333813259178,14412.466066744073,38296.80378581854
PPC-VRM-ETH-LBC-IOC,852.3735171868786,668,0,1674.166250971958,11696.665003887832,10856.071920392638,24024.343575084524
VRM-WAVES-REP-XMR-ERC,915.9380203386072,600,0,3042.6963342266336,17170.785336906534,14525.730606050718,36947.57511110227
WAVES-SYS-DGB-RDD-SHIFT,923.6039664515419,666,0,3518.655115732762,19074.62046293105,14142.798909042627,41324.52337110118
RDD-NAV-AEON-XCP-SHIFT,1961.794777295665,718,0,3691.2591261549396,19765.03650461976,29224.34852579729,60828.94616058324
EFL-AEON-NXT-SBD-EMC,1713.7796531652837,768,0,2639.4829449302792,15557.931779721117,23091.443584793844,50830.68984439352
DOPE-CLAM-LBC-BCY-PPC,667.7844169006954,636,0,987.249557974621,8948.998231898484,8330.800400641372,19085.142847611984
FTC-PTC-REP-CURE-ERC,1386.5903080156295,676,0,4099.843603709408,21399.37441483763,21063.00197991815,54900.86944592184
ETH-EXP-ERC-STEEM-XMR,636.3194172809948,572,8,3378.738114656737,18514.952458626947,9825.991707352978,31215.59706839428
FTC-XRP-BSD-SBD-RDD,1964.3859695398876,726,0,3614.640495599393,19458.561982397572,29125.21020911153,67426.89956135221
XCP-FLO-SPR-ZEC-CLAM,582.720359971197,716,0,585.2615845164873,7341.046338065949,5714.873820742518,17262.333241796056
